Frame Number,Object ID,Object Class,Zone,Total Left ROI,Total Right ROI,Traffic Status
85,1,Car,Right Lane,3,2,Light
85,10,Car,Left Lane,3,2,Light
85,11,Car,Left Lane,3,2,Light
85,13,Car,Left Lane,3,2,Light
85,14,Car,Right Lane,3,2,Light
86,1,Car,Right Lane,3,2,Light
86,10,Car,Left Lane,3,2,Light
86,11,Car,Left Lane,3,2,Light
86,13,Car,Left Lane,3,2,Light
86,14,Car,Right Lane,3,2,Light
87,1,Car,Right Lane,3,2,Light
87,10,Car,Left Lane,3,2,Light
87,11,Car,Left Lane,3,2,Light
87,13,Car,Left Lane,3,2,Light
87,14,Car,Right Lane,3,2,Light
88,1,Car,Right Lane,3,3,Moderate
88,10,Car,Left Lane,3,3,Moderate
88,11,Car,Left Lane,3,3,Moderate
88,13,Car,Left Lane,3,3,Moderate
88,14,Car,Right Lane,3,3,Moderate
88,15,Car,Right Lane,3,3,Moderate
89,1,Car,Right Lane,3,3,Moderate
89,10,Car,Left Lane,3,3,Moderate
89,11,Car,Left Lane,3,3,Moderate
89,13,Car,Left Lane,3,3,Moderate
89,14,Car,Right Lane,3,3,Moderate
89,15,Car,Right Lane,3,3,Moderate
90,1,Car,Right Lane,3,2,Light
90,10,Car,Left Lane,3,2,Light
90,11,Car,Left Lane,3,2,Light
90,13,Car,Left Lane,3,2,Light
90,14,Car,Right Lane,3,2,Light
91,1,Car,Right Lane,3,3,Moderate
91,10,Car,Left Lane,3,3,Moderate
91,11,Car,Left Lane,3,3,Moderate
91,13,Car,Left Lane,3,3,Moderate
91,14,Car,Right Lane,3,3,Moderate
91,16,Car,Right Lane,3,3,Moderate
92,1,Car,Right Lane,3,2,Light
92,10,Car,Left Lane,3,2,Light
92,11,Car,Left Lane,3,2,Light
92,13,Car,Left Lane,3,2,Light
92,14,Car,Right Lane,3,2,Light
93,1,Car,Right Lane,3,2,Light
93,10,Car,Left Lane,3,2,Light
93,11,Car,Left Lane,3,2,Light
93,13,Car,Left Lane,3,2,Light
93,14,Car,Right Lane,3,2,Light
94,1,Car,Right Lane,3,3,Moderate
94,10,Car,Left Lane,3,3,Moderate
94,11,Car,Left Lane,3,3,Moderate
94,13,Car,Left Lane,3,3,Moderate
94,14,Car,Right Lane,3,3,Moderate
94,17,Car,Right Lane,3,3,Moderate
95,1,Car,Right Lane,3,2,Light
95,10,Car,Left Lane,3,2,Light
95,11,Car,Left Lane,3,2,Light
95,13,Car,Left Lane,3,2,Light
95,14,Car,Right Lane,3,2,Light
96,1,Car,Right Lane,3,2,Light
96,10,Car,Left Lane,3,2,Light
96,11,Car,Left Lane,3,2,Light
96,13,Car,Left Lane,3,2,Light
96,14,Car,Right Lane,3,2,Light
97,1,Car,Right Lane,3,2,Light
97,10,Car,Left Lane,3,2,Light
97,11,Car,Left Lane,3,2,Light
97,13,Car,Left Lane,3,2,Light
97,14,Car,Right Lane,3,2,Light
98,1,Car,Right Lane,4,2,Moderate
98,10,Car,Left Lane,4,2,Moderate
98,11,Car,Left Lane,4,2,Moderate
98,13,Car,Left Lane,4,2,Moderate
98,14,Car,Right Lane,4,2,Moderate
98,18,Car,Left Lane,4,2,Moderate
99,1,Car,Right Lane,4,2,Moderate
99,10,Car,Left Lane,4,2,Moderate
99,11,Car,Left Lane,4,2,Moderate
99,13,Car,Left Lane,4,2,Moderate
99,14,Car,Right Lane,4,2,Moderate
